Date,Stock,Country,ISIN,Description,Currency,Gross_Income
2021-11-02 12:33:00,,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 142,37 EUR",,
2021-11-02 12:33:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"142,37"
2021-11-02 07:46:00,VERIZON COMMUNICATIONS,United States (USA),US92343V1044,Dividendo,USD,"0,64"
2021-11-02 07:46:00,VERIZON COMMUNICATIONS,United States (USA),US92343V1044,RetenciÃ³n del dividendo,USD,"-0,10"
2021-11-01 14:30:00,COCA COLA FEMSA S.A.B.,Mexico (MEX),US1912411089,Ingreso Cambio de Divisa,USD,"107,44"
2021-11-01 14:30:00,COCA COLA FEMSA S.A.B.,Mexico (MEX),US1912411089,Retirada Cambio de Divisa,EUR,"-92,91"
2021-11-01 14:30:00,COCA COLA FEMSA S.A.B.,Mexico (MEX),US1912411089,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,01"
2021-11-01 14:30:00,COCA COLA FEMSA S.A.B.,Mexico (MEX),US1912411089,Ingreso Cambio de Divisa,USD,"53,72"
2021-11-01 14:30:00,COCA COLA FEMSA S.A.B.,Mexico (MEX),US1912411089,Retirada Cambio de Divisa,EUR,"-46,45"
2021-11-01 14:30:00,COCA COLA FEMSA S.A.B.,Mexico (MEX),US1912411089,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,50"
2021-11-01 14:30:00,COCA COLA FEMSA S.A.B.,Mexico (MEX),US1912411089,"Compra 2 COCA COLA FEMSA S.A.B.@53,72 USD (US1912411089)",USD,"-107,44"
2021-11-01 14:30:00,COCA COLA FEMSA S.A.B.,Mexico (MEX),US1912411089,"Compra 1 COCA COLA FEMSA S.A.B.@53,72 USD (US1912411089)",USD,"-53,72"
2021-11-01 14:26:00,,,,ComisiÃ³n de conectividad con el mercado 2021 (Xetra - XET),EUR,"-2,50"
2021-11-01 10:32:00,,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 435,99 EUR",,
2021-11-01 10:32:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"435,99"
2021-10-29 19:46:00,INTERNATIONAL BUSINESS,United States (USA),US4592001014,Ingreso Cambio de Divisa,USD,"502,64"
2021-10-29 19:46:00,INTERNATIONAL BUSINESS,United States (USA),US4592001014,Retirada Cambio de Divisa,EUR,"-435,47"
2021-10-29 19:46:00,INTERNATIONAL BUSINESS,United States (USA),US4592001014,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,01"
